id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26794445,Central Room in Beautiful Eixample,3289998,Agnes,Eixample,la Dreta de l'Eixample,41.39518,2.17146,Private room,25,4,1,2018-07-18,0.08,1,73
26797767,Cozy Eixample Apartment . HUTB-001274,144775738,Xavi,Eixample,la Nova Esquerra de l'Eixample,41.38091,2.14956,Entire home/apt,130,3,0,,,10,3
26798122,Cute Eixample Apartment.  HUTB-005692,144775738,Xavi,Sants-Montjuïc,Sants,41.38121,2.14098,Entire home/apt,130,3,0,,,10,10
26799868,On the Ramblas 1 Studio 3A,9784103,Apartime,Ciutat Vella,el Barri Gòtic,41.38134,2.17412,Entire home/apt,90,3,1,2018-10-12,0.11,31,0
26799970,Habitación doble en nuevo piso,201081107,Paolo,Sant Andreu,Navas,41.41477,2.1891,Private room,55,2,14,2018-12-29,1.17,1,0
26800022,"Free parking, ground floor, NEW everything!",20731634,Claudio,Sant Andreu,el Bon Pastor,41.43688,2.20495,Entire home/apt,60,32,0,,,5,296
26800315,60 mq flat with kitchen and 2 bathroom,194635069,Valentina,Eixample,l'Antiga Esquerra de l'Eixample,41.38562,2.15616,Entire home/apt,53,90,0,,,12,170
26800509,Plaza España peaceful apart (1841),146682595,Ana & Rafa,Sants-Montjuïc,Hostafrancs,41.37596,2.14695,Entire home/apt,75,1,75,2019-07-10,6.30,8,271
26800682,60 mq flat with kitchen and 2 bathroom,194635069,Valentina,Eixample,l'Antiga Esquerra de l'Eixample,41.38548,2.1565,Entire home/apt,53,90,0,,,12,286
26800844,60 mq flat in Eixample with 2 bathrooms,194635069,Valentina,Eixample,l'Antiga Esquerra de l'Eixample,41.38569,2.1563,Entire home/apt,53,90,0,,,12,188
26801228,Catalan Disposition & architectur 1 1,194635069,Valentina,Eixample,l'Antiga Esquerra de l'Eixample,41.38418,2.15634,Entire home/apt,53,32,0,,,12,316
26802172,061. Paseo de Gracia 5 Estrellas 14,396363,Oscar And Diego,Eixample,la Dreta de l'Eixample,41.39507,2.16324,Entire home/apt,229,2,8,2019-06-14,0.66,97,5
26802330,Blackandwhitehome Gracia Bajos 2,26828317,Isabel,Gràcia,la Vila de Gràcia,41.40725,2.15392,Entire home/apt,115,2,3,2019-05-22,0.42,29,103
26802824,Apartament ParqueGüell SagradaFamilia WIFI NETFLIX,103115053,Marco,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40767,2.16104,Entire home/apt,70,1,53,2019-06-25,4.57,1,123
26803862,On the Ramblas 2 Studio 4B,9784103,Apartime,Ciutat Vella,el Barri Gòtic,41.37939,2.17526,Entire home/apt,90,3,5,2019-02-02,0.50,31,0
26805594,Apartamento luminoso en el centro de la ciudad,63884491,Sergi,Horta-Guinardó,el Guinardó,41.42215,2.17597,Private room,80,1,46,2019-07-06,3.83,1,1
26805899,家乐华人旅馆5-2,185855386,燕,Ciutat Vella,el Raval,41.38146,2.17253,Shared room,21,1,40,2019-07-03,3.43,6,335
26806262,Habitación individual exterior  Poble Sec,11767907,Saana,Sants-Montjuïc,el Poble Sec,41.37362,2.16409,Private room,21,1,7,2019-03-02,0.59,2,0
26809311,Santa Monica Apartment City Center.,480528,Andrei,Ciutat Vella,el Barri Gòtic,41.38106,2.17749,Entire home/apt,88,32,2,2019-05-20,0.48,12,344
26809924,Central 2BD apartment in Eixample,480528,Andrei,Eixample,la Dreta de l'Eixample,41.39574,2.17142,Entire home/apt,50,270,0,,,12,69
26811798,Bright Penthouse with great Terrace in Poblenou,14120404,Roger,Sant Martí,el Poblenou,41.3996,2.19513,Entire home/apt,160,3,32,2019-06-22,2.77,7,24
26812271,Beautiful double room only for girls,201623477,Teddy,Ciutat Vella,el Barri Gòtic,41.38352,2.17456,Private room,50,2,6,2018-08-30,0.53,2,0
26813253,Modern penthouse private terrace,5264883,Unique,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40559,2.14638,Entire home/apt,58,32,2,2019-02-01,0.27,31,297
26814252,Cozy room with balcony Barcelona downtown,201640113,Abel,Eixample,la Dreta de l'Eixample,41.39066,2.16207,Private room,62,3,4,2019-05-07,0.41,1,145
26818857,2BR apartment with HUGE TERRACE at Sagrada Familia,80951609,Sofia&Erick,Eixample,la Sagrada Família,41.40648,2.18047,Entire home/apt,150,2,51,2019-07-04,4.32,7,335
26820784,Уютная комната в центре! Wi Fi!,161454529,Natalia,Sant Martí,el Parc i la Llacuna del Poblenou,41.40285,2.18742,Private room,45,2,7,2019-06-02,0.59,4,78
26822941,Family Apartment With Large Terrace,168091065,Long Term Apartments,Eixample,l'Antiga Esquerra de l'Eixample,41.39074,2.154,Entire home/apt,77,31,0,,,25,190
26823085,Blackandwhitehome Gracia Bajos 3,26828317,Isabel,Gràcia,la Vila de Gràcia,41.40784,2.15246,Entire home/apt,115,2,2,2019-06-16,0.91,29,81
26823538,"2657 - AB Centric Catalunya Apartment - Chic 2-bedroom Apartment, minutes from Plaça de Catalunya",170716140,Robbie & Kay,Ciutat Vella,el Barri Gòtic,41.38544,2.17321,Entire home/apt,85,32,0,,,130,1
26826584,Blackandwhitehome Poble Nou Terrace I,26828317,Isabel,Sant Martí,el Poblenou,41.40199,2.20227,Entire home/apt,135,2,2,2019-05-31,0.49,29,99
26827562,Blackandwhitehome Poble Nou Terrace II,26828317,Isabel,Sant Martí,el Poblenou,41.40063,2.20144,Entire home/apt,135,2,7,2019-06-10,0.69,29,91
26828180,APBCN Bright and Charming Apartment 4-1,160554212,Anna,Eixample,la Dreta de l'Eixample,41.39525,2.17516,Entire home/apt,135,1,23,2019-06-18,2.02,15,201
26828346,APBCN Fantastic Penthouse with Solarium for Groups,160554212,Anna,Eixample,la Dreta de l'Eixample,41.39742,2.17511,Entire home/apt,90,1,15,2019-05-19,1.45,15,165
26828389,APBCN Bright and Charming Apartment 2-1,160554212,Anna,Eixample,la Dreta de l'Eixample,41.39736,2.17645,Entire home/apt,135,1,19,2019-06-16,1.79,15,192
